trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-105.89445151878076,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.985}",30,0,-30.91511494812991,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.98}",30,0,-110.02537953075765,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.975}",30,0,-160.95743845091363,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.97}",20,0,-123.54319090145079,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.965}",20,13,-1.657192861379834,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.96}",20,0,-195.69213259901196,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.955}",20,0,-146.8174890240154,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.95}",25,0,-167.1055228169127,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.945}",20,0,-89.88937885738602,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.94}",20,0,-110.63300706434543,"{0: 8, 1: 5, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-54.59509984742241,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-138.38203316006224,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-54.97415974150899,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-168.60727467003923,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-54.23673667855149,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-57.542770193433334,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
