trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-158.1254531365566,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.985}",25,0,-148.5925129563115,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.98}",30,0,-52.68806968819012,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.975}",25,0,-171.5773200267403,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.97}",20,0,-59.106042809009516,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.965}",20,0,-129.25524815030366,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.96}",25,0,-164.42899049226537,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.955}",20,0,-100.48302614284447,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.95}",25,0,-294.7311861283847,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.945}",25,0,-87.15395698356863,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.94}",20,0,-39.633665979420414,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-201.74587878592354,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-133.02627451397302,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-178.76686217118538,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-63.52980363755485,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9149999999999999}",20,0,-38.02151692039965,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-136.45227662834895,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-46.61668991500521,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-194.0925150440322,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-101.08163784812058,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-96.53974036985974,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8849999999999999}",20,4,-62.040271961358485,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-140.90388437302582,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-123.11981560381116,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-136.7049200192265,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-121.48197929919525,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,1,-110.98118607424877,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-156.86204089257922,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-182.90419674424012,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-190.9896307171374,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.8399999999999999}",35,0,-246.71026478554086,"{0: 18, 1: 3, 2: 9, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-258.19474590961585,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-148.55568632116533,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-90.91883548438389,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-20.362670072199794,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8149999999999998}",35,0,-296.26893556447993,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 5}",0
37,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-144.24667269863954,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.8049999999999998}",30,0,-71.69005989559753,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
