trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 0.999}",20,0,-94.40306408856054,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.999, 'e': 0.998001}",25,0,-198.38325597279865,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
3,False,"{'a': 0.999, 'e': 0.997002999}",20,0,-106.26892858599379,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.999, 'e': 0.996005996001}",20,0,-99.72100024674955,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.999, 'e': 0.995009990004999}",25,0,-113.8770463069349,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.999, 'e': 0.994014980014994}",30,0,-166.8021864376776,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.999, 'e': 0.993020965034979}",20,0,-99.4191359901277,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.999, 'e': 0.992027944069944}",25,0,-141.49947632815514,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.999, 'e': 0.991035916125874}",20,2,-88.5218675439522,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.999, 'e': 0.9900448802097482}",25,0,-59.81055847366596,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.999, 'e': 0.9890548353295384}",20,0,-90.67643274093146,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",1
12,False,"{'a': 0.999, 'e': 0.9880657804942089}",35,0,-171.01902172697322,"{0: 20, 1: 3, 2: 9, 3: 2, 4: 1}",0
13,False,"{'a': 0.999, 'e': 0.9870777147137147}",35,0,-309.9928357634932,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 6}",0
14,False,"{'a': 0.999, 'e': 0.986090636999001}",20,0,-136.12554799597413,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.999, 'e': 0.985104546362002}",35,0,-163.89060947535424,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.999, 'e': 0.9841194418156399}",20,1,-32.367094896756484,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.999, 'e': 0.9831353223738244}",25,0,-138.93143302785563,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
18,False,"{'a': 0.999, 'e': 0.9821521870514505}",20,2,-102.11103969504519,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 1}",1
19,False,"{'a': 0.999, 'e': 0.981170034864399}",20,0,-67.46638462880287,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.999, 'e': 0.9801888648295347}",20,12,-57.77348112352958,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.999, 'e': 0.9792086759647052}",20,0,-84.80990787007067,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.999, 'e': 0.9782294672887404}",20,0,-118.10954044601287,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.999, 'e': 0.9772512378214517}",25,0,-188.56366948787934,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.999, 'e': 0.9762739865836302}",20,0,-49.63598673294508,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
25,False,"{'a': 0.999, 'e': 0.9752977125970466}",30,0,-211.15790920448484,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
26,False,"{'a': 0.999, 'e': 0.9743224148844496}",20,0,-131.57138272776484,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.999, 'e': 0.9733480924695651}",20,4,-90.29224822772747,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
28,False,"{'a': 0.999, 'e': 0.9723747443770956}",20,0,-61.667561092920266,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.999, 'e': 0.9714023696327184}",25,0,-199.07417680175058,"{0: 14, 1: 0, 2: 4, 3: 5, 4: 2}",0
30,False,"{'a': 0.999, 'e': 0.9704309672630858}",25,0,-172.6810759799228,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
31,False,"{'a': 0.999, 'e': 0.9694605362958226}",25,0,-113.12840086046437,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.999, 'e': 0.9684910757595268}",20,0,-160.73893762784573,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.999, 'e': 0.9675225846837673}",25,0,-123.63499654346062,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
34,False,"{'a': 0.999, 'e': 0.9665550620990835}",25,0,-148.48078558225416,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.999, 'e': 0.9655885070369844}",25,0,-182.24804140281037,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
36,False,"{'a': 0.999, 'e': 0.9646229185299474}",20,0,-58.34551175343684,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.999, 'e': 0.9636582956114175}",30,0,-217.04321683018844,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
38,False,"{'a': 0.999, 'e': 0.9626946373158061}",20,0,-153.2974007276459,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.999, 'e': 0.9617319426784903}",20,0,-157.13824917056425,"{0: 10, 1: 0, 2: 5, 3: 4, 4: 1}",0
40,False,"{'a': 0.999, 'e': 0.9607702107358118}",25,0,-117.18392026927762,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
41,False,"{'a': 0.999, 'e': 0.959809440525076}",25,0,-88.52954647949764,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
42,False,"{'a': 0.999, 'e': 0.9588496310845509}",20,0,-112.35646259406099,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.999, 'e': 0.9578907814534663}",25,0,-74.82158914073385,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.999, 'e': 0.9569328906720129}",25,11,-80.95534867059993,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.999, 'e': 0.9559759577813408}",20,0,-149.2589249936218,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.999, 'e': 0.9550199818235595}",25,0,-32.26430322715186,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.999, 'e': 0.954064961841736}",20,0,-94.05556462323455,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.999, 'e': 0.9531108968798943}",20,0,-84.01192404111028,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
49,False,"{'a': 0.999, 'e': 0.9521577859830144}",25,0,-102.98466106878543,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.999, 'e': 0.9512056281970314}",25,0,-183.86267383892027,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
51,False,"{'a': 0.999, 'e': 0.9502544225688343}",25,0,-121.48424182059125,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.999, 'e': 0.9493041681462654}",20,0,-79.39268289715139,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.999, 'e': 0.9483548639781192}",20,0,-48.320737265349585,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.999, 'e': 0.947406509114141}",20,0,-177.33408459611985,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
55,False,"{'a': 0.999, 'e': 0.9464591026050269}",35,0,-145.7200898421809,"{0: 23, 1: 4, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.999, 'e': 0.9455126435024219}",20,0,-167.55344989907064,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
57,False,"{'a': 0.999, 'e': 0.9445671308589194}",25,0,-151.96882558043978,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
58,False,"{'a': 0.999, 'e': 0.9436225637280605}",25,0,-93.50551711964846,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.999, 'e': 0.9426789411643325}",20,0,-146.39583703402027,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
60,False,"{'a': 0.999, 'e': 0.9417362622231682}",20,0,-111.14573103326444,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.999, 'e': 0.9407945259609449}",25,0,-81.80965413969639,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.999, 'e': 0.9398537314349841}",25,0,-92.06280777025344,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.999, 'e': 0.9389138777035491}",20,0,-129.22809936947112,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
64,False,"{'a': 0.999, 'e': 0.9379749638258454}",35,0,-168.2322260510738,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 1}",0
65,False,"{'a': 0.999, 'e': 0.9370369888620197}",30,0,-106.00272062279807,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
66,False,"{'a': 0.999, 'e': 0.9360999518731576}",30,0,-144.90041008607858,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
67,False,"{'a': 0.999, 'e': 0.9351638519212845}",30,0,-217.54946759827578,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
68,False,"{'a': 0.999, 'e': 0.9342286880693632}",20,0,-70.81714540198304,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.999, 'e': 0.9332944593812939}",20,0,-56.38834744866776,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
70,False,"{'a': 0.999, 'e': 0.9323611649219126}",35,0,-232.83321058729018,"{0: 19, 1: 8, 2: 3, 3: 1, 4: 4}",0
71,False,"{'a': 0.999, 'e': 0.9314288037569907}",25,0,-152.33406556909534,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
72,False,"{'a': 0.999, 'e': 0.9304973749532336}",30,11,-44.86221444711366,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.999, 'e': 0.9295668775782804}",20,11,-10.77940031659472,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.999, 'e': 0.9286373107007021}",20,0,-67.32042709821228,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
75,False,"{'a': 0.999, 'e': 0.9277086733900014}",20,0,-77.22282192886576,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.999, 'e': 0.9267809647166114}",20,0,-14.021318184114294,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.999, 'e': 0.9258541837518948}",25,0,-93.98598430837644,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.999, 'e': 0.9249283295681429}",20,10,3.6860395556334327,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.999, 'e': 0.9240034012385747}",25,0,-207.3554429643092,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 5}",0
80,False,"{'a': 0.999, 'e': 0.9230793978373362}",25,0,-79.67059463393605,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.999, 'e': 0.9221563184394989}",25,0,-148.24868041883943,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
82,False,"{'a': 0.999, 'e': 0.9212341621210594}",25,0,-155.49925185579755,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
83,False,"{'a': 0.999, 'e': 0.9203129279589383}",25,0,-40.60396120325722,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.999, 'e': 0.9193926150309794}",30,0,-152.14523369454255,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
85,False,"{'a': 0.999, 'e': 0.9184732224159483}",20,0,-75.4350845781777,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
86,False,"{'a': 0.999, 'e': 0.9175547491935324}",25,0,-114.92526903772205,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
87,False,"{'a': 0.999, 'e': 0.9166371944443389}",30,17,-24.681273736335022,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
88,False,"{'a': 0.999, 'e': 0.9157205572498945}",20,0,-68.0302528378146,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.999, 'e': 0.9148048366926447}",35,0,-67.46519722466181,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.999, 'e': 0.913890031855952}",20,0,-146.27001196982704,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
