trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 0.999}",20,-100,-651.1451317251278,"{0: 67, 1: 16, 2: 25, 3: 3, 4: 9}",0
2,False,"{'a': 0.999, 'e': 0.998001}",20,-64,-445.63495073403465,"{0: 47, 1: 11, 2: 17, 3: 4, 4: 5}",0
3,False,"{'a': 0.999, 'e': 0.997002999}",30,-19,-232.06591854103226,"{0: 28, 1: 6, 2: 11, 3: 1, 4: 3}",0
4,False,"{'a': 0.999, 'e': 0.996005996001}",25,-100,-691.167406086917,"{0: 71, 1: 15, 2: 26, 3: 3, 4: 10}",0
5,False,"{'a': 0.999, 'e': 0.995009990004999}",20,-100,-401.14882013868214,"{0: 83, 1: 10, 2: 19, 3: 2, 4: 6}",0
6,False,"{'a': 0.999, 'e': 0.994014980014994}",30,16,-57.30401076881951,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
7,False,"{'a': 0.999, 'e': 0.993020965034979}",25,-100,-877.3828434504399,"{0: 77, 1: 9, 2: 17, 3: 6, 4: 16}",0
8,False,"{'a': 0.999, 'e': 0.992027944069944}",25,4,-134.26746345985046,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 2}",1
9,False,"{'a': 0.999, 'e': 0.991035916125874}",20,-8,-56.35513675753093,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.999, 'e': 0.9900448802097482}",25,-26,-330.3705620530012,"{0: 33, 1: 6, 2: 4, 3: 1, 4: 7}",0
11,False,"{'a': 0.999, 'e': 0.9890548353295384}",20,2,-80.38177991255124,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.999, 'e': 0.9880657804942089}",30,15,-82.3326184252621,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
13,False,"{'a': 0.999, 'e': 0.9870777147137147}",35,-19,-405.458197897084,"{0: 26, 1: 7, 2: 11, 3: 5, 4: 5}",0
14,False,"{'a': 0.999, 'e': 0.986090636999001}",20,-100,-505.74450968989424,"{0: 79, 1: 12, 2: 18, 3: 3, 4: 8}",0
15,False,"{'a': 0.999, 'e': 0.985104546362002}",20,13,-42.42035843892094,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.999, 'e': 0.9841194418156399}",20,-100,-725.7629489317553,"{0: 62, 1: 9, 2: 34, 3: 8, 4: 7}",0
17,False,"{'a': 0.999, 'e': 0.9831353223738244}",20,-100,-448.1630347389995,"{0: 72, 1: 16, 2: 24, 3: 4, 4: 4}",0
18,False,"{'a': 0.999, 'e': 0.9821521870514505}",20,-1,-108.18802569971324,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 1}",1
19,False,"{'a': 0.999, 'e': 0.981170034864399}",25,-26,-389.41208001456096,"{0: 26, 1: 4, 2: 13, 3: 2, 4: 6}",0
20,False,"{'a': 0.999, 'e': 0.9801888648295347}",20,-58,-267.9241807982217,"{0: 53, 1: 7, 2: 13, 3: 1, 4: 4}",0
21,False,"{'a': 0.999, 'e': 0.9792086759647052}",20,-26,-207.49919778430947,"{0: 27, 1: 4, 2: 11, 3: 2, 4: 2}",0
22,False,"{'a': 0.999, 'e': 0.9782294672887404}",25,-13,-241.36780514111473,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 4}",0
23,False,"{'a': 0.999, 'e': 0.9772512378214517}",20,-15,-186.37901827997635,"{0: 18, 1: 5, 2: 7, 3: 4, 4: 1}",0
24,False,"{'a': 0.999, 'e': 0.9762739865836302}",20,-13,-51.031647389779344,"{0: 26, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.999, 'e': 0.9752977125970466}",25,-53,-360.0202297301153,"{0: 52, 1: 6, 2: 12, 3: 2, 4: 6}",0
26,False,"{'a': 0.999, 'e': 0.9743224148844496}",20,-100,-606.6704995867034,"{0: 75, 1: 11, 2: 21, 3: 3, 4: 10}",0
27,False,"{'a': 0.999, 'e': 0.9733480924695651}",20,-100,-686.9853800774605,"{0: 71, 1: 15, 2: 19, 3: 4, 4: 11}",0
28,False,"{'a': 0.999, 'e': 0.9723747443770956}",30,-69,-348.6104251434193,"{0: 68, 1: 8, 2: 15, 3: 3, 4: 5}",0
29,False,"{'a': 0.999, 'e': 0.9714023696327184}",20,-100,-383.341086886871,"{0: 83, 1: 12, 2: 16, 3: 4, 4: 5}",0
30,False,"{'a': 0.999, 'e': 0.9704309672630858}",20,-100,-466.05382908214136,"{0: 77, 1: 15, 2: 18, 3: 4, 4: 6}",0
31,False,"{'a': 0.999, 'e': 0.9694605362958226}",20,-100,-657.7785863396546,"{0: 71, 1: 19, 2: 15, 3: 4, 4: 11}",0
32,False,"{'a': 0.999, 'e': 0.9684910757595268}",20,-1,-46.408417947758764,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
33,False,"{'a': 0.999, 'e': 0.9675225846837673}",35,-68,-676.4458685639186,"{0: 56, 1: 19, 2: 12, 3: 5, 4: 11}",0
34,False,"{'a': 0.999, 'e': 0.9665550620990835}",20,-10,-212.31105756034532,"{0: 15, 1: 2, 2: 7, 3: 4, 4: 2}",0
35,False,"{'a': 0.999, 'e': 0.9655885070369844}",20,-100,-558.7905401044358,"{0: 77, 1: 11, 2: 17, 3: 8, 4: 7}",0
36,False,"{'a': 0.999, 'e': 0.9646229185299474}",30,-100,-811.4972931863704,"{0: 73, 1: 9, 2: 31, 3: 7, 4: 10}",0
37,False,"{'a': 0.999, 'e': 0.9636582956114175}",20,-30,-309.32316279624433,"{0: 29, 1: 5, 2: 10, 3: 1, 4: 5}",0
38,False,"{'a': 0.999, 'e': 0.9626946373158061}",25,-28,-235.09764506724073,"{0: 31, 1: 5, 2: 12, 3: 3, 4: 2}",0
