trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-58.18938607975071,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-105.21856115655193,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-105.75650114462017,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,11,-91.56169900881228,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-147.23823557051335,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,6,5.955437744875079,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-146.29631407381618,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-42.04956146639139,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-75.03610965464316,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-74.75717009363471,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-167.07441112777207,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-144.61715501849227,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-77.09376251204807,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-138.77979419606473,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-195.6905779773228,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,6,-103.57432751163067,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-62.031149744358146,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-58.90260762000067,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-6.3454073195865295,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-72.90861596100233,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.72034433888315,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-117.64144419671554,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-129.67932018347122,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-186.73485300708123,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-190.4589726872342,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-228.7326764463596,"{0: 16, 1: 4, 2: 3, 3: 4, 4: 3}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-128.34706527181032,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-200.23661007042918,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-195.2567027264126,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-142.54352918129769,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
